,0
0,peinar
1,cerrar
2,volar
3,buena
4,igual
5,nieve
6,moto
7,pescado
8,gracias
9,pis
10,suerte
11,amigo
12,caracol
13,tomate
14,bonito
15,lluvia
16,televisor
17,abrazar
18,artificiales
19,vidrio
20,parque
21,es
22,fanta
23,peluqueria
24,buenas
25,cama
26,trabajar
27,mediano
28,ya
29,noches
30,diario
31,museo
32,caminar
33,tienda
34,cafe
35,arco
36,coete
37,huerta
38,Psicología
39,naranja
40,carnaval
41,buzo
42,perder
43,estanteria
44,que
45,malla
46,collar
47,pene
48,avion
49,jugo
50,canguro
51,mano
52,mochila
53,te
54,hermano
55,caballo
56,colonia
57,raro
58,mosquito
59,toques
60,otoño
61,al
62,timbre
63,pera
64,molestar
65,pañal
66,foca
67,tronco
68,revista
69,cansado
70,mucho
71,ayudar
72,auto
73,queso
74,calzoncillo
75,donde
76,reducida
77,pollo
78,iris
79,frio
80,esperar
81,a
82,mes
83,invierno
84,levantarse
85,recordar
86,carton
87,tio
88,elefante
89,foto
90,rizado
91,circo
92,dinero
93,dar
94,lobo
95,atras
96,olvidar
97,anillo
98,plaza
99,ciudad
100,pileta
101,cocina
102,bajo
103,montaña
104,metal
105,grande
106,banana
107,derecha
108,adentro
109,habitacion
110,abeja
111,vecina
112,tortilla
113,llorar
114,ahora
115,tortuga
116,quien
117,sandia
118,sillon
119,calor
120,puente
121,nena
122,nervioso
123,calle
124,Musicoterapia
125,mi
126,claro
127,ducha
128,excursion
129,gimnasio
130,nene
131,pure
132,pelo
133,plantar
134,turno
135,tonteria
136,deporte
137,paraguas
138,cena
139,de
140,escalera
141,año
142,hospital
143,sal
144,sorprendido
145,arrancar
146,encendido
147,boca
148,mesa
149,peluche
150,plastico
151,volante
152,vender
153,nuevo
154,hola
155,raton
156,remera
157,clase
158,leon
159,cerezas
160,ballena
161,comunicador
162,asustado
163,gustar
164,Psicomotricista
165,pie
166,nubes
167,dolor
168,invitar
169,querer
170,mascara
171,ensalada
172,oreja
173,divertido
174,bueno
175,nadar
176,merienda
177,diferente
178,triste
179,mermelada
180,me
181,camilla
182,huevo
183,mañana
184,salchicha
185,gato
186,tobogan
187,primavera
188,volver
189,futbol
190,reir
191,largo
192,calendario
193,zapallo
194,torta
195,oler
196,chico
197,rio
198,para
199,vecinos
200,carpeta
201,ordenar
202,caramelo
203,ellos
204,silla
205,cocinar
206,manzana
207,ayer
208,caca
209,sucio
210,roto
211,lechuza
212,tardes
213,movilidad
214,mosca
215,romper
216,tarde
217,salado
218,corbata
219,pensar
220,magos
221,gritar
222,malo
223,control
224,bar
225,cuello
226,desvestir
227,luz
228,abuela
229,comida
230,lejos
231,buenos
232,ruta
233,gracioso
234,pintar
235,fuerte
236,dinosaurio
237,tal
238,tia
239,relampago
240,serpiente
241,muñeca
242,rompecabezas
243,conmutador
244,globo
245,gimnasia
246,pueblo
247,caer
248,cosa
249,bicicleta
250,escribir
251,mala
252,primero
253,aeropuerto
254,Ocupacional
255,pan
256,vestir
257,dibujar
258,rosa
259,corpiño
260,miedo
261,madera
262,salvavidas
263,rascar
264,pegar
265,coser
266,comprar
267,lado
268,seco
269,esta
270,gallina
271,pinchar
272,armario
273,tijera
274,abrir
275,arroz
276,hamaca
277,melon
278,aburrido
279,patio
280,casa
281,planta
282,bipedestador
283,boton
284,disfraz
285,mareado
286,cambiar
287,nada
288,Fonoaudiología
289,brazo
290,mojado
291,trueno
292,hueso
293,hallowen
294,pato
295,perro
296,dibujo
297,arriba
298,una
299,favor
300,mar
301,muñeco
302,regar
303,siento
304,mirar
305,cine
306,vecino
307,computadora
308,guantes
309,vaca
310,todo
311,estacionar
312,estudiar
313,delfin
314,llevar
315,mono
316,izquierda
317,ir
318,viento
319,campera
320,entiendo
321,playa
322,helicoptero
323,buen
324,ganar
325,Terapia
326,hotel
327,genial
328,pollito
329,oso
330,bosque
331,vestido
332,antes
333,con
334,lo
335,cuento
336,impresora
337,enfermo
338,oscuro
339,viejo
340,pala
341,cebra
342,amar
343,saber
344,como
345,espejo
346,fuego
347,impermeable
348,pronto
349,abuelo
350,rana
351,abrigo
352,pagar
353,noel
354,gemelos
355,correr
356,explicar
357,agenda
358,subte
359,lapiz
360,pierna
361,babero
362,tren
363,pajaro
364,zapatos
365,cerca
366,taller
367,sentarse
368,nosotros
369,caliente
370,esconder
371,contento
372,motor
373,manteca
374,cerdo
375,ventana
376,oveja
377,guardar
378,bajar
379,vagina
380,aprender
381,agua
382,encastrable
383,piedra
384,pelota
385,tractor
386,adios
387,botas
388,secar
389,iglesia
390,teatro
391,dedo
392,hacer
393,hablar
394,carne
395,paralisis
396,dormir
397,desayuno
398,lleno
399,pulsera
400,tambien
401,Pediatra
402,casamiento
403,hora
404,pasear
405,navidad
406,internet
407,accidente
408,afuera
409,pegamento
410,dia
411,papel
412,abuelos
413,tigre
414,restaurante
415,acuerdo
416,dientes
417,barco
418,conejo
419,horrible
420,tu
421,vacio
422,pizarron
423,abajo
424,regalo
425,subir
426,limpiar
427,pañuelo
428,feria
429,lentejas
430,flor
431,mate
432,embarazada
433,juguetes
434,farmacia
435,papa
436,cortar
437,araña
438,mujer
439,incomodo
440,hacemos
441,canelones
442,sol
443,feo
444,pincel
445,mercado
446,pez
447,mandarina
448,besar
449,Cardiologo
450,residencia
451,bicho
452,servicio
453,puerta
454,radio
455,cangrejo
456,delantal
457,gorro
458,cierre
459,enseñar
460,leche
461,mas
462,pizza
463,granja
464,uña
465,agarrar
466,lagartija
467,margarita
468,bufanda
469,baño
470,festejar
471,camisa
472,niebla
473,bombacha
474,Psiquiatra
475,liso
476,enojado
477,Kinesiología
478,sobre
479,llamas
480,beber
481,camion
482,duro
483,hierba
484,ardilla
485,rampa
486,leer
487,telefono
488,felicidades
489,comedor
490,mojar
491,gallo
492,ambulancia
493,se
494,libro
495,culo
496,pelear
497,estacion
498,bolso
499,lampara
500,reloj
501,pijama
502,frutilla
503,piel
504,descansar
505,tener
506,anteojos
507,plastilina
508,mariposa
509,sangre
510,carcel
511,maestra
512,blando
513,pizzeria
514,noche
515,cadera
516,cartas
517,saltar
518,mama
519,ojo
520,tostada
521,hoja
522,helado
523,ayuda
524,acostarse
525,cara
526,bolsa
527,lindo
528,apagado
529,cabeza
530,jugar
531,caja
532,cola
533,limon
534,joven
535,paciencia
536,adelante
537,yo
538,rapido
539,mellizos
540,cumpleaños
541,provecho
542,ascensor
543,verduras
544,sopa
545,remoto
546,ventilador
547,estoy
548,cuantos
549,bailar
550,vacaciones
551,musica
552,alto
553,luna
554,escondida
555,medias
556,tunel
557,cuando
558,nariz
559,videojuego
560,estacionamiento
561,limpio
562,verano
563,reyes
564,espalda
565,correo
566,escuchar
567,gusano
568,lento
569,dulce
570,buenisimo
571,quiero
572,coca
573,sirve
574,facil
575,cinto
576,canasta
577,por
578,menos
579,contar
580,no
581,biblioteca
582,otro
583,hamburguesa
584,despues
585,hoy
586,colectivo
587,ultimo
588,estas
589,piñata
590,dias
591,cantar
592,hermana
593,pintura
594,delgado
595,azucar
596,maestro
597,bañar
598,amiga
599,cancha
600,taxi
601,bien
602,fuegos
603,gusta
604,lengua
605,pantalones
606,rueda
607,poco
608,burro
609,escuela
610,rotonda
611,comisaria
612,corto
613,gordo
614,panaderia
615,Neurólogo
616,camping
617,raiz
618,hombre
619,camioneta
620,ruedas
621,cerebral
622,sortear
623,jirafa
624,arbol
625,poner
626,equivocado
627,entre
628,falda
629,flojo
630,Psicopedagogía
631,comer
632,tablero
633,cabra
634,llave
635,barriga
636,chaleco
637,dificil
638,niños
